epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,206.683,0.84964,1.35032,0.96832,1.06747,0,0.34848,0.52741,0.37434,0.22179,0.34848,0.52741,0.37434,0.2232,1.44684,2.57166,2.87856,1.70118,0,0.000563446,0.000563446,0.000563446
29,212.023,0.7758,1.31423,0.9372,1.03216,0,0.37504,0.43931,0.36917,0.24136,0.37504,0.43931,0.36917,0.2173,1.31319,3.08159,2.62429,1.65051,0,0.000555833,0.000555833,0.000555833
30,217.771,0.82678,1.35264,0.94917,1.04882,0,0.2787,0.43056,0.30358,0.19042,0.2787,0.43056,0.30036,0.20888,1.41105,2.76707,2.62199,1.64814,0,0.00054822,0.00054822,0.00054822
31,224.25,0.76369,1.29644,0.91804,1.02938,0,0.51615,0.40278,0.3295,0.17965,0.43077,0.40278,0.37158,0.18465,1.4168,2.54213,2.83348,1.66749,0,0.000540607,0.000540607,0.000540607
32,229.606,0.77273,1.34144,0.88697,1.04453,0,0.49137,0.32992,0.31333,0.19158,0.51893,0.38548,0.33395,0.19056,1.41236,2.61077,2.77453,1.61095,0,0.000532994,0.000532994,0.000532994
33,236.328,0.76006,1.25876,0.8703,1.02326,0,0.65076,0.31654,0.38219,0.23028,0.65176,0.37047,0.4125,0.2574,1.55311,2.59,2.79557,1.64211,0,0.000525381,0.000525381,0.000525381
34,242,0.74129,1.22922,0.84874,1.01584,0,0.25911,0.32212,0.34845,0.2358,0.25911,0.32212,0.33689,0.23738,1.30521,2.28265,2.49061,1.38512,0,0.000517768,0.000517768,0.000517768
35,247.512,0.74195,1.19237,0.80916,1.01684,0,0.57945,0.48746,0.52494,0.36843,0.53087,0.55894,0.54213,0.38263,1.26222,2.04582,2.58187,1.34425,0,0.000510155,0.000510155,0.000510155
36,254.106,0.75432,1.29189,0.86963,1.03737,0,0.6524,0.5745,0.6147,0.39637,0.63997,0.50715,0.57193,0.42837,1.21513,2.11688,2.36221,1.35293,0,0.000502541,0.000502541,0.000502541
37,259.399,0.73827,1.17453,0.79028,1.02298,0,0.4695,0.64093,0.60611,0.43009,0.4695,0.64093,0.6077,0.4365,1.20006,2.03663,2.17735,1.35365,0,0.000494928,0.000494928,0.000494928
38,266.151,0.72667,1.19824,0.80294,1.0098,0,0.43099,0.4387,0.46845,0.31557,0.43099,0.4387,0.46845,0.32534,1.32198,1.97811,2.41538,1.49075,0,0.000487315,0.000487315,0.000487315
39,271.816,0.72344,1.22113,0.82245,1.0151,0,0.5692,0.52439,0.52735,0.37757,0.5692,0.52439,0.52735,0.38946,1.16153,1.87236,2.64199,1.34763,0,0.000479702,0.000479702,0.000479702
40,278.935,0.7023,1.10027,0.77851,0.99347,0,0.62721,0.44877,0.53857,0.38507,0.62721,0.44877,0.53857,0.36705,1.14883,2.23029,2.65656,1.30221,0,0.000472089,0.000472089,0.000472089
41,285.082,0.71641,1.15474,0.78316,0.99262,0,0.35242,0.34722,0.42267,0.31677,0.35242,0.34722,0.42267,0.27388,1.20658,2.22609,2.68686,1.32532,0,0.000464476,0.000464476,0.000464476
42,290.468,0.70402,1.13631,0.73994,1.01127,0,0.55353,0.63519,0.58798,0.44753,0.55353,0.63519,0.58798,0.38449,1.046,2.25016,2.47461,1.24309,0,0.000456863,0.000456863,0.000456863
43,297.14,0.69192,1.12791,0.7603,0.99832,0,0.5328,0.62451,0.58844,0.43544,0.5328,0.62451,0.58844,0.39919,1.02852,2.1908,2.42813,1.19442,0,0.00044925,0.00044925,0.00044925
44,302.655,0.68309,1.11511,0.71733,0.97079,0,0.47721,0.53442,0.54492,0.44562,0.47721,0.53442,0.54492,0.38655,0.95822,2.2775,2.48282,1.19573,0,0.000441637,0.000441637,0.000441637
45,308.48,0.7249,1.14016,0.75295,1.00642,0,0.47829,0.47232,0.54187,0.418,0.47829,0.47232,0.54187,0.38799,1.07948,2.04259,2.72698,1.21762,0,0.000434024,0.000434024,0.000434024
46,314.865,0.69942,1.15272,0.77731,0.98795,0,0.77725,0.4411,0.4918,0.37561,0.77725,0.4411,0.501,0.39411,1.14819,1.97199,2.85504,1.29453,0,0.000426411,0.000426411,0.000426411
47,320.355,0.68609,1.17612,0.75232,1.00635,0,0.81124,0.30556,0.48677,0.36461,0.47522,0.40278,0.47963,0.3698,1.19756,2.10858,2.64648,1.3581,0,0.000418797,0.000418797,0.000418797
48,327.024,0.67838,1.08833,0.73379,0.99597,0,0.43969,0.32896,0.38898,0.28931,0.43969,0.32896,0.38898,0.27999,1.19716,2.20238,3.23686,1.3564,0,0.000411184,0.000411184,0.000411184
49,332.396,0.68359,1.09377,0.74227,0.98634,0,0.57307,0.40202,0.46268,0.30254,0.57307,0.40202,0.46268,0.31185,1.29001,2.20883,3.16658,1.43972,0,0.000403571,0.000403571,0.000403571
50,338.177,0.64617,1.0762,0.65317,0.96224,0,0.57868,0.38079,0.5027,0.33034,0.57868,0.38079,0.48892,0.33063,1.1771,2.07146,2.79708,1.34267,0,0.000395958,0.000395958,0.000395958
51,345.92,0.6423,1.02938,0.67637,0.98417,0,0.56621,0.48611,0.40208,0.27774,0.56621,0.48611,0.40208,0.27953,1.12634,2.32736,2.77758,1.28124,0,0.000388345,0.000388345,0.000388345
52,351.241,0.67362,1.07448,0.68066,0.98291,0,0.55816,0.36111,0.47043,0.362,0.55816,0.36111,0.47043,0.35196,1.09957,2.01332,2.74156,1.28673,0,0.000380732,0.000380732,0.000380732
53,358.078,0.61568,1.01788,0.61336,0.9633,0,0.56925,0.4373,0.49364,0.36754,0.57172,0.41667,0.45684,0.35158,1.12531,1.81863,2.87968,1.30162,0,0.000373119,0.000373119,0.000373119
54,363.571,0.61062,1.00175,0.64421,0.95196,0,0.60226,0.40979,0.41922,0.3588,0.64008,0.44761,0.43769,0.3449,1.10224,1.61332,3.04091,1.29642,0,0.000365506,0.000365506,0.000365506
55,370.089,0.63657,1.01351,0.6279,0.96574,0,0.62076,0.45847,0.53364,0.36867,0.62076,0.45847,0.53364,0.37161,1.19502,2.0127,2.68496,1.46291,0,0.000357893,0.000357893,0.000357893
56,375.872,0.64967,1.04458,0.65154,0.95903,0,0.43773,0.52546,0.52045,0.36617,0.43773,0.52546,0.52045,0.36934,1.19687,2.21311,2.6134,1.45273,0,0.00035028,0.00035028,0.00035028
57,381.241,0.62414,0.96634,0.63403,0.94714,0,0.85169,0.39892,0.56114,0.38891,0.85169,0.39892,0.56114,0.40744,1.12926,2.11719,2.54286,1.40678,0,0.000342666,0.000342666,0.000342666
58,387.919,0.60336,1.02282,0.60235,0.9521,0,0.52586,0.6024,0.58536,0.4199,0.52586,0.6024,0.58536,0.42625,1.10515,1.95672,2.41064,1.3519,0,0.000335053,0.000335053,0.000335053
59,393.296,0.62591,1.03255,0.62201,0.97389,0,0.59982,0.59493,0.61054,0.43348,0.59982,0.59493,0.6058,0.40497,1.03909,2.04254,2.28665,1.34325,0,0.00032744,0.00032744,0.00032744
60,399.811,0.58085,0.91284,0.57825,0.94236,0,0.62,0.42951,0.481,0.35543,0.62,0.42951,0.481,0.34329,1.00992,1.93332,2.62211,1.28511,0,0.000319827,0.000319827,0.000319827
61,405.628,0.58085,0.92379,0.55263,0.94247,0,0.55836,0.45206,0.49974,0.37037,0.55836,0.45206,0.49974,0.36616,1.05092,1.90303,2.58469,1.30353,0,0.000312214,0.000312214,0.000312214
62,411.013,0.60773,0.9854,0.61506,0.96271,0,0.61565,0.52422,0.5681,0.39953,0.61565,0.52422,0.5681,0.40389,1.07328,2.06477,2.26542,1.27551,0,0.000304601,0.000304601,0.000304601
63,417.881,0.59243,0.91903,0.56538,0.93652,0,0.48018,0.51389,0.51385,0.3808,0.48018,0.51389,0.51385,0.37619,1.05858,1.93537,2.63627,1.27879,0,0.000296988,0.000296988,0.000296988
64,423.324,0.59286,0.98516,0.59137,0.93855,0,0.79642,0.24432,0.43315,0.33894,0.79642,0.24432,0.43315,0.3258,1.04498,1.9914,2.88194,1.31768,0,0.000289375,0.000289375,0.000289375
65,429.433,0.60506,0.92907,0.58565,0.94778,0,0.58092,0.29167,0.41638,0.33829,0.58092,0.29167,0.41638,0.32979,1.05766,2.08195,2.81068,1.30627,0,0.000281762,0.000281762,0.000281762
66,435.513,0.57105,0.93,0.53863,0.93373,0,0.53425,0.45514,0.45788,0.38129,0.53425,0.45514,0.45638,0.36465,1.00594,2.03819,2.62113,1.25091,0,0.000274148,0.000274148,0.000274148
67,440.956,0.56991,0.91573,0.54984,0.94128,0,0.81315,0.38425,0.49821,0.37285,0.81315,0.38425,0.49821,0.36802,1.02977,1.95521,2.53122,1.26314,0,0.000266535,0.000266535,0.000266535
68,447.739,0.54944,0.83058,0.51642,0.92974,0,0.77245,0.40278,0.46019,0.34363,0.77245,0.40278,0.42598,0.32202,1.01285,1.91103,2.52013,1.27074,0,0.000258922,0.000258922,0.000258922
