epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,103.072,0.67824,0.96599,0.99231,0.85656,0.90363,0.92162,0.80061,0.66437,0.74388,0.88501,0.000233599,0.000233599,0.000233599
43,104.747,0.68688,0.99639,1.006,0.8529,0.90422,0.92171,0.79638,0.63921,0.73589,0.87648,0.000225736,0.000225736,0.000225736
44,106.461,0.66159,0.91257,0.99644,0.81878,0.91297,0.92328,0.82106,0.60829,0.73139,0.87324,0.000217873,0.000217873,0.000217873
45,108.893,0.68294,0.99188,1.00398,0.86206,0.86341,0.92352,0.81953,0.62025,0.73219,0.88057,0.000210009,0.000210009,0.000210009
46,111.286,0.68122,0.9409,1.01662,0.9088,0.80243,0.91304,0.81264,0.61372,0.72776,0.87548,0.000202146,0.000202146,0.000202146
47,112.846,0.64904,0.9448,1.00151,0.90163,0.79684,0.91427,0.81112,0.60544,0.73509,0.87161,0.000194282,0.000194282,0.000194282
48,114.553,0.66066,0.92436,0.98257,0.80025,0.86411,0.90609,0.7973,0.61668,0.80065,0.87701,0.000186419,0.000186419,0.000186419
49,116.129,0.62731,0.90375,0.96,0.84096,0.82824,0.90502,0.78349,0.62463,0.81247,0.8799,0.000178555,0.000178555,0.000178555
50,118.039,0.62706,0.97962,0.9611,0.84687,0.81667,0.90443,0.79471,0.63488,0.77423,0.88744,0.000170692,0.000170692,0.000170692
51,119.676,0.6122,0.88171,0.95776,0.80057,0.84314,0.89952,0.78426,0.64635,0.76677,0.89125,0.000162829,0.000162829,0.000162829
52,121.545,0.60447,0.86705,0.9812,0.78096,0.86185,0.89865,0.77766,0.69422,0.77971,0.91021,0.000154965,0.000154965,0.000154965
53,124.217,0.60193,0.88927,0.97113,0.86437,0.78862,0.89868,0.76744,0.68252,0.77489,0.90379,0.000147102,0.000147102,0.000147102
54,126.146,0.60575,0.88742,0.9766,0.8944,0.7975,0.91309,0.79123,0.64296,0.72679,0.88672,0.000139238,0.000139238,0.000139238
