epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,280.046,0.79098,1.25994,0.98735,1.04983,0,0.49366,0.51038,0.4141,0.32628,0.50251,0.55956,0.43339,0.31527,1.1209,1.99335,2.43631,1.34865,0,0.000631964,0.000631964,0.000631964
29,290.441,0.79791,1.24757,0.95387,1.05392,0,0.57305,0.513,0.49568,0.37227,0.57305,0.513,0.49568,0.37785,1.1046,1.64986,2.49526,1.35198,0,0.000626889,0.000626889,0.000626889
30,299.595,0.80416,1.24593,0.93566,1.04415,0,0.73919,0.47377,0.5452,0.41843,0.73919,0.47377,0.5452,0.41563,0.92232,1.88522,2.07678,1.21702,0,0.000621813,0.000621813,0.000621813
31,307.167,0.80344,1.32439,0.98749,1.05678,0,0.70999,0.37563,0.50688,0.38307,0.70999,0.37563,0.50688,0.37332,0.91491,1.81013,2.20472,1.23189,0,0.000616738,0.000616738,0.000616738
32,316.369,0.78315,1.28905,0.95794,1.03917,0,0.52106,0.50851,0.49392,0.38659,0.51667,0.47101,0.48814,0.35948,0.89947,2.06916,2.12866,1.19858,0,0.000611663,0.000611663,0.000611663
33,324.108,0.77076,1.2139,0.92913,1.04952,0,0.35358,0.52821,0.46769,0.36368,0.34792,0.50713,0.44059,0.35046,0.95869,1.98872,2.30523,1.23481,0,0.000606587,0.000606587,0.000606587
34,334.681,0.74516,1.18394,0.90908,1.02666,0,0.53352,0.47013,0.47293,0.39181,0.53352,0.47013,0.47806,0.39311,0.94743,1.42967,2.30362,1.22964,0,0.000601512,0.000601512,0.000601512
35,343.498,0.75289,1.20587,0.88787,1.0469,0,0.36742,0.62525,0.55207,0.45626,0.38718,0.64048,0.55779,0.43922,0.94479,1.44067,2.43629,1.19052,0,0.000596436,0.000596436,0.000596436
36,352.528,0.78424,1.2406,0.88742,1.04006,0,0.65474,0.51942,0.52705,0.42999,0.65474,0.51942,0.52705,0.41366,0.96019,1.70194,2.27817,1.1998,0,0.000591361,0.000591361,0.000591361
37,363.216,0.76084,1.19211,0.87685,1.03787,0,0.42475,0.52491,0.49377,0.40705,0.42475,0.52491,0.48482,0.40242,1.00092,1.71136,2.39576,1.19475,0,0.000586286,0.000586286,0.000586286
38,372.747,0.70246,1.10075,0.81805,1.02027,0,0.38768,0.70105,0.56049,0.41355,0.38768,0.70105,0.56049,0.44459,1.03956,1.60683,2.27931,1.28685,0,0.00058121,0.00058121,0.00058121
39,381.051,0.74032,1.15955,0.82872,1.02019,0,0.58808,0.40236,0.47579,0.33808,0.58808,0.40236,0.47579,0.36172,1.05421,1.56328,2.43573,1.32192,0,0.000576135,0.000576135,0.000576135
40,389.896,0.75359,1.20516,0.83504,1.01659,0,0.43301,0.47704,0.49239,0.36624,0.43301,0.47704,0.49239,0.35822,1.03957,1.6221,1.94312,1.28893,0,0.000571059,0.000571059,0.000571059
41,399.45,0.72724,1.21735,0.84618,1.02484,0,0.47929,0.58165,0.54481,0.4102,0.47929,0.58165,0.54481,0.39967,0.99063,1.40879,1.99321,1.30078,0,0.000565984,0.000565984,0.000565984
42,408.727,0.69749,1.16484,0.84166,0.98894,0,0.4579,0.53682,0.51754,0.40452,0.4579,0.53682,0.51754,0.40739,1.01729,1.43712,2.17786,1.23415,0,0.000560909,0.000560909,0.000560909
43,417.853,0.67925,1.09492,0.78449,0.99142,0,0.45422,0.6068,0.53586,0.4367,0.42144,0.69028,0.57782,0.45886,0.91599,1.47899,1.89232,1.23194,0,0.000555833,0.000555833,0.000555833
44,426.723,0.71215,1.11361,0.78883,1.00163,0,0.36892,0.66939,0.48401,0.38554,0.36892,0.66939,0.50151,0.393,0.90016,1.63798,1.95979,1.28765,0,0.000550758,0.000550758,0.000550758
45,437.177,0.69293,1.11441,0.8279,1.00685,0,0.49648,0.48327,0.5035,0.41,0.49648,0.48327,0.48047,0.35777,0.89354,2.00948,2.18626,1.24909,0,0.000545682,0.000545682,0.000545682
