epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,105.903,0.72116,1.03905,1.25618,0.98734,0,0.90313,0.7178,0.88029,0.73064,0.90313,0.7178,0.88029,0.76918,0.73915,0.8858,1.00501,0.95621,0,0.000401877,0.000401877,0.000401877
30,108.441,0.684,0.92435,1.16324,0.95913,0,0.79139,0.90833,0.89327,0.73465,0.79139,0.90833,0.89327,0.7752,0.76705,0.93014,0.97651,0.9883,0,0.000396372,0.000396372,0.000396372
31,111.023,0.67843,0.93782,1.13805,0.95155,0,0.84,0.89164,0.90936,0.75841,0.84,0.89164,0.90936,0.7823,0.75143,0.93297,1.01276,0.98306,0,0.000390868,0.000390868,0.000390868
32,114.75,0.65023,0.86703,1.06889,0.95849,0,0.86738,0.84985,0.93241,0.79957,0.86738,0.84985,0.93241,0.79934,0.73667,0.99076,0.87856,0.97807,0,0.000385364,0.000385364,0.000385364
33,117.674,0.63807,0.87425,1.12386,0.9343,0,0.86575,0.9165,0.93889,0.81351,0.86575,0.9165,0.93889,0.81441,0.72711,1.00433,0.77709,0.96956,0,0.000379859,0.000379859,0.000379859
34,120.283,0.64252,0.89594,1.05924,0.92666,0,0.90395,0.91292,0.94198,0.78872,0.90395,0.91292,0.94198,0.82332,0.74067,0.99081,0.69642,0.97501,0,0.000374355,0.000374355,0.000374355
35,122.721,0.64491,0.87943,1.01269,0.93223,0,0.90074,0.91476,0.94195,0.79233,0.90074,0.91476,0.94195,0.82469,0.7149,0.87633,0.70691,0.97396,0,0.00036885,0.00036885,0.00036885
36,125.31,0.63621,0.89457,1.05269,0.93414,0,0.90457,0.90847,0.93607,0.79208,0.90457,0.90847,0.93607,0.80879,0.72746,0.8862,0.74068,0.95819,0,0.000363346,0.000363346,0.000363346
37,129.755,0.63768,0.87167,1.00055,0.92243,0,0.87429,0.91378,0.933,0.77858,0.87429,0.91378,0.933,0.79355,0.77415,0.9274,0.75682,0.98649,0,0.000357842,0.000357842,0.000357842
38,132.539,0.64628,0.91092,1.0696,0.93309,0,0.83723,0.89995,0.92373,0.78849,0.83723,0.89995,0.92373,0.77349,0.73047,0.93455,0.79574,0.97101,0,0.000352337,0.000352337,0.000352337
39,134.947,0.58832,0.8502,1.05211,0.9222,0,0.83534,0.88538,0.91976,0.79218,0.83534,0.88538,0.91976,0.7668,0.64312,0.91693,0.80195,0.89688,0,0.000346833,0.000346833,0.000346833
40,137.676,0.59549,0.81258,0.94511,0.91819,0,0.86564,0.87701,0.92573,0.78959,0.86564,0.87701,0.92573,0.77535,0.63664,0.94299,0.79483,0.86799,0,0.000341328,0.000341328,0.000341328
41,140.118,0.57016,0.8576,0.95967,0.91508,0,0.88206,0.85665,0.91989,0.79041,0.88206,0.85665,0.91989,0.77454,0.64985,0.96781,0.79933,0.87039,0,0.000335824,0.000335824,0.000335824
42,144.209,0.58021,0.82822,0.8973,0.9059,0,0.87628,0.90833,0.90635,0.77226,0.87628,0.90833,0.90635,0.79383,0.68913,0.93597,0.74213,0.90331,0,0.00033032,0.00033032,0.00033032
