epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,157.073,0.73603,1.09606,1.20028,0.97358,0,0.87161,0.66262,0.81331,0.6655,0.87161,0.66262,0.8146,0.68884,0.85011,0.98116,1.53673,0.96146,0,0.0003614,0.0003614,0.0003614
30,161.038,0.75731,1.11771,1.16878,0.99323,0,0.88845,0.72317,0.84851,0.68989,0.88845,0.72317,0.84851,0.67978,0.77135,1.04489,1.17235,0.91731,0,0.00035645,0.00035645,0.00035645
31,165.021,0.68696,0.98397,1.10225,0.95575,0,0.89905,0.73586,0.83339,0.66201,0.91015,0.73192,0.83756,0.66796,0.84455,1.10431,1.23082,0.97563,0,0.0003515,0.0003515,0.0003515
32,170.541,0.70389,1.04331,1.09343,0.98538,0,0.89434,0.6904,0.82608,0.64066,0.89434,0.6904,0.82608,0.66948,0.90363,1.05806,1.52293,1.00595,0,0.00034655,0.00034655,0.00034655
33,174.636,0.68354,0.96856,1.02988,0.95471,0,0.88703,0.7047,0.88823,0.72866,0.88703,0.7047,0.88823,0.73442,0.81575,1.00409,1.41036,0.98646,0,0.0003416,0.0003416,0.0003416
34,178.296,0.67763,0.98969,1.07022,0.95904,0,0.80561,0.76993,0.91952,0.78655,0.80561,0.76993,0.91952,0.76068,0.67545,0.96033,0.97054,0.90801,0,0.00033665,0.00033665,0.00033665
35,183.262,0.68508,1.0643,1.04368,0.97257,0,0.80132,0.76728,0.91059,0.75397,0.80132,0.76728,0.91059,0.76204,0.70692,0.96726,1.02533,0.93072,0,0.0003317,0.0003317,0.0003317
36,187.865,0.67794,1.01701,1.07977,0.95928,0,0.77584,0.725,0.90043,0.74013,0.77584,0.725,0.89866,0.72975,0.68993,1.10882,1.15351,0.92912,0,0.00032675,0.00032675,0.00032675
37,191.902,0.70127,1.07594,1.0795,0.96554,0,0.79836,0.88429,0.89298,0.75447,0.79836,0.88429,0.89298,0.76131,0.68622,1.029,1.13079,0.94255,0,0.0003218,0.0003218,0.0003218
38,196.181,0.67487,1.00007,1.09138,0.96403,0,0.74208,0.86778,0.89266,0.74316,0.74208,0.86778,0.89266,0.7631,0.79461,0.91029,1.05016,0.97128,0,0.00031685,0.00031685,0.00031685
39,201.403,0.67849,1.04732,1.03638,0.95351,0,0.78145,0.8625,0.90469,0.74584,0.78145,0.8625,0.90469,0.76356,0.76589,0.919,0.87648,0.98223,0,0.0003119,0.0003119,0.0003119
40,205.238,0.66019,0.96625,0.96871,0.94386,0,0.82407,0.88961,0.89009,0.71669,0.82407,0.88961,0.89009,0.73915,0.74682,0.93819,0.96272,0.94386,0,0.00030695,0.00030695,0.00030695
41,209.165,0.66383,0.98679,0.96825,0.95395,0,0.84184,0.86554,0.88994,0.7189,0.84184,0.86554,0.88994,0.73819,0.71871,0.9577,0.99826,0.93289,0,0.000302,0.000302,0.000302
42,214.754,0.64962,0.96334,0.98292,0.94309,0,0.78028,0.8625,0.87643,0.68679,0.78028,0.8625,0.87643,0.72451,0.73804,0.9714,1.05277,0.94404,0,0.00029705,0.00029705,0.00029705
43,218.651,0.66451,1.00786,1.02595,0.96223,0,0.77083,0.8625,0.85815,0.70215,0.77083,0.8625,0.85815,0.70919,0.74205,0.95194,1.17852,0.93242,0,0.0002921,0.0002921,0.0002921
44,222.548,0.62593,0.95524,0.9367,0.93277,0,0.76398,0.8625,0.87007,0.71077,0.76398,0.8625,0.87007,0.73182,0.74885,0.99698,1.06218,0.97618,0,0.00028715,0.00028715,0.00028715
45,227.114,0.60619,0.89997,0.94986,0.94238,0,0.79931,0.88087,0.89136,0.71975,0.79931,0.88087,0.89136,0.75841,0.74274,0.97022,0.95665,0.96646,0,0.0002822,0.0002822,0.0002822
46,231.968,0.61579,0.88224,0.87814,0.9308,0,0.80034,0.90237,0.90664,0.74306,0.80034,0.90237,0.90664,0.77083,0.68376,0.97128,0.87376,0.9068,0,0.00027725,0.00027725,0.00027725
47,235.667,0.6264,0.93544,0.90915,0.93187,0,0.81698,0.89693,0.90752,0.7626,0.81698,0.89693,0.90752,0.77457,0.63422,0.97029,0.76959,0.87867,0,0.0002723,0.0002723,0.0002723
48,239.727,0.61847,0.92314,0.89096,0.93786,0,0.8202,0.90397,0.90958,0.75897,0.8202,0.90397,0.90958,0.76108,0.66808,0.8949,0.76269,0.90874,0,0.00026735,0.00026735,0.00026735
49,245.103,0.63954,0.92947,0.88335,0.92814,0,0.80006,0.93333,0.90962,0.7597,0.80006,0.93333,0.90962,0.76133,0.65305,0.88945,0.75832,0.91108,0,0.0002624,0.0002624,0.0002624
50,249.104,0.64345,0.92686,0.92647,0.93547,0,0.80365,0.93191,0.90979,0.75406,0.80365,0.93191,0.90979,0.77952,0.62883,0.88236,0.90269,0.88521,0,0.00025745,0.00025745,0.00025745
51,253.011,0.61585,0.93982,0.85499,0.93542,0,0.78598,0.87473,0.88879,0.73666,0.78598,0.87473,0.88879,0.7481,0.64778,0.92981,1.2805,0.88744,0,0.0002525,0.0002525,0.0002525
52,258.503,0.61951,0.86995,0.87259,0.93731,0,0.83873,0.78504,0.86633,0.72351,0.86694,0.80761,0.87133,0.73064,0.65493,0.93858,1.24251,0.9021,0,0.00024755,0.00024755,0.00024755
53,262.545,0.60248,0.91587,0.89568,0.92406,0,0.85383,0.76714,0.85325,0.71232,0.8756,0.78455,0.85825,0.72647,0.64274,0.89605,1.06657,0.90376,0,0.0002426,0.0002426,0.0002426
54,266.535,0.57846,0.85392,0.78881,0.91262,0,0.77545,0.83221,0.84551,0.70842,0.83355,0.81788,0.85051,0.72623,0.62573,0.8899,0.95372,0.9045,0,0.00023765,0.00023765,0.00023765
55,271.128,0.5855,0.90478,0.87484,0.93001,0,0.81761,0.85957,0.86726,0.72589,0.8232,0.86405,0.87226,0.73246,0.6702,0.93087,0.80254,0.93729,0,0.0002327,0.0002327,0.0002327
56,275.887,0.58165,0.85498,0.82296,0.91267,0,0.73095,0.90833,0.88567,0.76471,0.73095,0.90833,0.89567,0.73491,0.65785,1.02563,0.71243,0.92653,0,0.00022775,0.00022775,0.00022775
57,279.642,0.59381,0.87416,0.8201,0.91463,0,0.74775,0.90833,0.89903,0.76971,0.74775,0.90833,0.89903,0.75226,0.64953,1.00291,0.70454,0.92529,0,0.0002228,0.0002228,0.0002228
58,283.725,0.61068,0.89745,0.82135,0.91542,0,0.77239,0.90833,0.9146,0.74679,0.77239,0.90833,0.9146,0.78057,0.60362,0.9233,0.68988,0.893,0,0.00021785,0.00021785,0.00021785
59,289.391,0.59313,0.89065,0.79993,0.92136,0,0.83316,0.90361,0.91936,0.75719,0.83316,0.90361,0.91936,0.7829,0.64281,0.94815,0.66562,0.90682,0,0.0002129,0.0002129,0.0002129
60,293.226,0.57997,0.87373,0.80907,0.91896,0,0.83442,0.90453,0.91639,0.79247,0.83442,0.90453,0.91639,0.778,0.64075,0.90434,0.63331,0.89278,0,0.00020795,0.00020795,0.00020795
61,297.198,0.57056,0.86536,0.83746,0.91253,0,0.80502,0.90833,0.91188,0.79814,0.80502,0.90833,0.91188,0.7808,0.61034,0.85986,0.62447,0.87289,0,0.000203,0.000203,0.000203
